epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.352,1.78153,7.10178,1.03242,0,0,0,0,1.53179,6.62705,0.90835,1.94739e-05,1.94739e-05,1.94739e-05
2,330.529,1.63761,6.59048,0.91393,0.00703,0.01456,0.00478,0.00359,1.50937,6.30272,0.88948,3.8753e-05,3.8753e-05,3.8753e-05
